From Zone,To Zone,Distance (km),Approx. Price (Birr)
Nifas Silk-Lafto,Dire Dawa City Administration,763,381.5
Nifas Silk-Lafto,Anywaa,850,425
Nifas Silk-Lafto,Majang,671,335.5
Nifas Silk-Lafto,Nuer,847,423.5
Nifas Silk-Lafto,Itang Special,576,288
Nifas Silk-Lafto,Harari Regional State,828,414
Nifas Silk-Lafto,Arsi,971,485.5
Nifas Silk-Lafto,Bale,186,93
Nifas Silk-Lafto,Borena,687,343.5
Nifas Silk-Lafto,Buno Bedele,651,325.5
Nifas Silk-Lafto,East Bale,893,446.5
Nifas Silk-Lafto,East Guji,465,232.5
Nifas Silk-Lafto,East Hararghe,130,65
Nifas Silk-Lafto,East Shewa,475,237.5
Nifas Silk-Lafto,East Wellega,142,71
Nifas Silk-Lafto,Horo Guduru Wellega,795,397.5
Nifas Silk-Lafto,Illubabor,170,85
Nifas Silk-Lafto,Jimma,270,135
Nifas Silk-Lafto,Kellem Wellega,271,135.5
Nifas Silk-Lafto,North Shewa,712,356
Nifas Silk-Lafto,Southwest Shewa,350,175
Nifas Silk-Lafto,West Arsi,213,106.5
Nifas Silk-Lafto,West Guji,497,248.5
Nifas Silk-Lafto,West Hararghe,137,68.5
Nifas Silk-Lafto,West Shewa,633,316.5
Nifas Silk-Lafto,West Wellega,177,88.5
Nifas Silk-Lafto,Aleta Chuko,217,108.5
Nifas Silk-Lafto,Aleta Wondo,818,409
Nifas Silk-Lafto,Aroresa,239,119.5
Nifas Silk-Lafto,Bensa,485,242.5
Nifas Silk-Lafto,Bona,543,271.5
Nifas Silk-Lafto,Bursa,458,229
Nifas Silk-Lafto,Dale,493,246.5
Nifas Silk-Lafto,Dara,721,360.5
Nifas Silk-Lafto,Gorche,234,117
Nifas Silk-Lafto,Hawassa Zuria,91,45.5
Nifas Silk-Lafto,Loka Abaya,825,412.5
Nifas Silk-Lafto,Malga,481,240.5
Nifas Silk-Lafto,Shebedino,53,26.5
Nifas Silk-Lafto,Wondo Genet,741,370.5
Nifas Silk-Lafto,Wonsho,772,386
Nifas Silk-Lafto,Gamo,199,99.5
Nifas Silk-Lafto,Gedeo,470,235
Nifas Silk-Lafto,Gofa,61,30.5
Nifas Silk-Lafto,Hadiya,60,30
Nifas Silk-Lafto,Halaba,781,390.5
Nifas Silk-Lafto,Kembata Tembaro,981,490.5
Nifas Silk-Lafto,Konso,493,246.5
Nifas Silk-Lafto,Silte,493,246.5
Nifas Silk-Lafto,South Omo,261,130.5
Nifas Silk-Lafto,Wolayita,155,77.5
Nifas Silk-Lafto,Afder,61,30.5
Nifas Silk-Lafto,Dollo,709,354.5
Nifas Silk-Lafto,Erer,735,367.5
Nifas Silk-Lafto,Fafan,646,323
Nifas Silk-Lafto,Jarar,271,135.5
Nifas Silk-Lafto,Korahe,734,367
Nifas Silk-Lafto,Liben,767,383.5
Nifas Silk-Lafto,Nogob,111,55.5
Nifas Silk-Lafto,Shabelle,968,484
Nifas Silk-Lafto,Sitti,429,214.5
Nifas Silk-Lafto,Central,809,404.5
Nifas Silk-Lafto,Eastern,254,127
Nifas Silk-Lafto,North Western,515,257.5
Nifas Silk-Lafto,Southern,945,472.5
Nifas Silk-Lafto,Western,300,150
Nifas Silk-Lafto,South Eastern,679,339.5
Nifas Silk-Lafto,Mekelle,56,28
Yeka,Awsi Rasu (Zone 1),968,484
Yeka,Kilbet Rasu (Zone 2),66,33
Yeka,Gabi Rasu (Zone 3),51,25.5
Yeka,Fantena Rasu (Zone 4),717,358.5
Yeka,Hari Rasu (Zone 5),864,432
Yeka,Agew Awi,802,401
Yeka,East Gojjam,986,493
Yeka,North Gondar,624,312
Yeka,North Shewa,110,55
Yeka,North Wollo,380,190
Yeka,Oromia Special Zone,418,209
Yeka,South Gondar,587,293.5
Yeka,South Wollo,996,498
Yeka,Wag Hemra,137,68.5
Yeka,West Gojjam,728,364
Yeka,Assosa,681,340.5
Yeka,Kamashi,911,455.5
Yeka,Metekel,567,283.5
Yeka,Mao-Komo Special,339,169.5
Yeka,Dire Dawa City Administration,673,336.5
Yeka,Anywaa,707,353.5
Yeka,Majang,471,235.5
Yeka,Nuer,529,264.5
Yeka,Itang Special,642,321
Yeka,Harari Regional State,754,377
Yeka,Arsi,837,418.5
Yeka,Bale,565,282.5
Yeka,Borena,127,63.5
Yeka,Buno Bedele,543,271.5
Yeka,East Bale,661,330.5
Yeka,East Guji,60,30
Yeka,East Hararghe,280,140
Yeka,East Shewa,517,258.5
Yeka,East Wellega,310,155
Yeka,Horo Guduru Wellega,197,98.5
Yeka,Illubabor,210,105
Yeka,Jimma,127,63.5
Yeka,Kellem Wellega,128,64
Yeka,North Shewa,492,246
Yeka,Southwest Shewa,955,477.5
Yeka,West Arsi,889,444.5
Yeka,West Guji,536,268
Yeka,West Hararghe,555,277.5
Yeka,West Shewa,991,495.5
Yeka,West Wellega,844,422
Yeka,Aleta Chuko,81,40.5
Yeka,Aleta Wondo,250,125
Yeka,Aroresa,138,69
Yeka,Bensa,191,95.5
Yeka,Bona,761,380.5
Yeka,Bursa,974,487
Yeka,Dale,92,46
Yeka,Dara,52,26
Yeka,Gorche,329,164.5
Yeka,Hawassa Zuria,721,360.5
Yeka,Loka Abaya,602,301
Yeka,Malga,613,306.5
Yeka,Shebedino,870,435
Yeka,Wondo Genet,823,411.5
Yeka,Wonsho,168,84
Yeka,Gamo,325,162.5
Yeka,Gedeo,648,324
Yeka,Gofa,766,383
Yeka,Hadiya,870,435
Yeka,Halaba,521,260.5
Yeka,Kembata Tembaro,233,116.5
Yeka,Konso,617,308.5
Yeka,Silte,972,486
Yeka,South Omo,264,132
Yeka,Wolayita,411,205.5
Yeka,Afder,259,129.5
Yeka,Dollo,367,183.5
Yeka,Erer,551,275.5
Yeka,Fafan,625,312.5
Yeka,Jarar,317,158.5
Yeka,Korahe,160,80
Yeka,Liben,473,236.5
Yeka,Nogob,399,199.5
Yeka,Shabelle,457,228.5
Yeka,Sitti,113,56.5
Yeka,Central,589,294.5
Yeka,Eastern,471,235.5
Yeka,North Western,173,86.5
Yeka,Southern,949,474.5
Yeka,Western,957,478.5
Yeka,South Eastern,165,82.5
Yeka,Mekelle,244,122
Awsi Rasu (Zone 1),Kilbet Rasu (Zone 2),656,328
Awsi Rasu (Zone 1),Gabi Rasu (Zone 3),672,336
Awsi Rasu (Zone 1),Fantena Rasu (Zone 4),364,182
Awsi Rasu (Zone 1),Hari Rasu (Zone 5),524,262
Awsi Rasu (Zone 1),Agew Awi,227,113.5
Awsi Rasu (Zone 1),East Gojjam,403,201.5
Awsi Rasu (Zone 1),North Gondar,658,329
Awsi Rasu (Zone 1),North Shewa,370,185
Awsi Rasu (Zone 1),North Wollo,683,341.5
Awsi Rasu (Zone 1),Oromia Special Zone,565,282.5
Awsi Rasu (Zone 1),South Gondar,823,411.5
Awsi Rasu (Zone 1),South Wollo,857,428.5
Awsi Rasu (Zone 1),Wag Hemra,573,286.5
Awsi Rasu (Zone 1),West Gojjam,885,442.5
Awsi Rasu (Zone 1),Assosa,837,418.5
Awsi Rasu (Zone 1),Kamashi,415,207.5
Awsi Rasu (Zone 1),Metekel,724,362
Awsi Rasu (Zone 1),Mao-Komo Special,665,332.5
Awsi Rasu (Zone 1),Dire Dawa City Administration,510,255
Awsi Rasu (Zone 1),Anywaa,807,403.5
Awsi Rasu (Zone 1),Majang,681,340.5
Awsi Rasu (Zone 1),Nuer,553,276.5
Awsi Rasu (Zone 1),Itang Special,406,203
Awsi Rasu (Zone 1),Harari Regional State,343,171.5
Awsi Rasu (Zone 1),Arsi,677,338.5
Awsi Rasu (Zone 1),Bale,726,363
Awsi Rasu (Zone 1),Borena,708,354
Awsi Rasu (Zone 1),Buno Bedele,703,351.5
Awsi Rasu (Zone 1),East Bale,89,44.5
Awsi Rasu (Zone 1),East Guji,448,224
Awsi Rasu (Zone 1),East Hararghe,607,303.5
Awsi Rasu (Zone 1),East Shewa,431,215.5
Awsi Rasu (Zone 1),East Wellega,983,491.5
Awsi Rasu (Zone 1),Horo Guduru Wellega,545,272.5
Awsi Rasu (Zone 1),Illubabor,582,291
Awsi Rasu (Zone 1),Jimma,117,58.5
Awsi Rasu (Zone 1),Kellem Wellega,89,44.5
Awsi Rasu (Zone 1),North Shewa,177,88.5
Awsi Rasu (Zone 1),Southwest Shewa,269,134.5
Awsi Rasu (Zone 1),West Arsi,959,479.5
Awsi Rasu (Zone 1),West Guji,571,285.5
Awsi Rasu (Zone 1),West Hararghe,575,287.5
Awsi Rasu (Zone 1),West Shewa,721,360.5
Awsi Rasu (Zone 1),West Wellega,545,272.5
Awsi Rasu (Zone 1),Aleta Chuko,783,391.5
Awsi Rasu (Zone 1),Aleta Wondo,445,222.5
Awsi Rasu (Zone 1),Aroresa,637,318.5
Awsi Rasu (Zone 1),Bensa,571,285.5
Awsi Rasu (Zone 1),Bona,498,249
Awsi Rasu (Zone 1),Bursa,607,303.5
Awsi Rasu (Zone 1),Dale,261,130.5
Awsi Rasu (Zone 1),Dara,575,287.5
Awsi Rasu (Zone 1),Gorche,436,218
Awsi Rasu (Zone 1),Hawassa Zuria,772,386
Awsi Rasu (Zone 1),Loka Abaya,830,415
Awsi Rasu (Zone 1),Malga,416,208
Awsi Rasu (Zone 1),Shebedino,855,427.5
Awsi Rasu (Zone 1),Wondo Genet,358,179
Awsi Rasu (Zone 1),Wonsho,293,146.5
Awsi Rasu (Zone 1),Gamo,641,320.5
Awsi Rasu (Zone 1),Gedeo,97,48.5
Awsi Rasu (Zone 1),Gofa,399,199.5
Awsi Rasu (Zone 1),Hadiya,797,398.5
Awsi Rasu (Zone 1),Halaba,375,187.5
Awsi Rasu (Zone 1),Kembata Tembaro,151,75.5
Awsi Rasu (Zone 1),Konso,951,475.5
Awsi Rasu (Zone 1),Silte,292,146
Awsi Rasu (Zone 1),South Omo,785,392.5
Awsi Rasu (Zone 1),Wolayita,52,26
Awsi Rasu (Zone 1),Afder,310,155
Awsi Rasu (Zone 1),Dollo,553,276.5
Awsi Rasu (Zone 1),Erer,324,162
Awsi Rasu (Zone 1),Fafan,968,484
Awsi Rasu (Zone 1),Jarar,199,99.5
Awsi Rasu (Zone 1),Korahe,782,391
Awsi Rasu (Zone 1),Liben,261,130.5
Awsi Rasu (Zone 1),Nogob,851,425.5
Awsi Rasu (Zone 1),Shabelle,365,182.5
Awsi Rasu (Zone 1),Sitti,263,131.5
Awsi Rasu (Zone 1),Central,475,237.5
Awsi Rasu (Zone 1),Eastern,196,98
Awsi Rasu (Zone 1),North Western,839,419.5
Awsi Rasu (Zone 1),Southern,694,347
Awsi Rasu (Zone 1),Western,666,333
Awsi Rasu (Zone 1),South Eastern,172,86
Awsi Rasu (Zone 1),Mekelle,839,419.5
Kilbet Rasu (Zone 2),Gabi Rasu (Zone 3),890,445
Kilbet Rasu (Zone 2),Fantena Rasu (Zone 4),241,120.5
Kilbet Rasu (Zone 2),Hari Rasu (Zone 5),727,363.5
Kilbet Rasu (Zone 2),Agew Awi,686,343
Kilbet Rasu (Zone 2),East Gojjam,720,360
Kilbet Rasu (Zone 2),North Gondar,162,81
Kilbet Rasu (Zone 2),North Shewa,162,81
Kilbet Rasu (Zone 2),North Wollo,182,91
Kilbet Rasu (Zone 2),Oromia Special Zone,773,386.5
Kilbet Rasu (Zone 2),South Gondar,864,432
Kilbet Rasu (Zone 2),South Wollo,982,491
Kilbet Rasu (Zone 2),Wag Hemra,802,401
Kilbet Rasu (Zone 2),West Gojjam,364,182
Kilbet Rasu (Zone 2),Assosa,254,127
Kilbet Rasu (Zone 2),Kamashi,90,45
Kilbet Rasu (Zone 2),Metekel,498,249
Kilbet Rasu (Zone 2),Mao-Komo Special,519,259.5
Kilbet Rasu (Zone 2),Dire Dawa City Administration,522,261
Kilbet Rasu (Zone 2),Anywaa,672,336
Kilbet Rasu (Zone 2),Majang,330,165
Kilbet Rasu (Zone 2),Nuer,696,348
Kilbet Rasu (Zone 2),Itang Special,343,171.5
Kilbet Rasu (Zone 2),Harari Regional State,621,310.5
Kilbet Rasu (Zone 2),Arsi,998,499
Kilbet Rasu (Zone 2),Bale,719,359.5
Kilbet Rasu (Zone 2),Borena,924,462
Kilbet Rasu (Zone 2),Buno Bedele,688,344
Kilbet Rasu (Zone 2),East Bale,673,336.5
Kilbet Rasu (Zone 2),East Guji,559,279.5
Kilbet Rasu (Zone 2),East Hararghe,242,121
Kilbet Rasu (Zone 2),East Shewa,952,476
Kilbet Rasu (Zone 2),East Wellega,200,100
Kilbet Rasu (Zone 2),Horo Guduru Wellega,235,117.5
Kilbet Rasu (Zone 2),Illubabor,551,275.5
Kilbet Rasu (Zone 2),Jimma,234,117
Kilbet Rasu (Zone 2),Kellem Wellega,783,391.5
Kilbet Rasu (Zone 2),North Shewa,276,138
Kilbet Rasu (Zone 2),Southwest Shewa,390,195
Kilbet Rasu (Zone 2),West Arsi,684,342
Kilbet Rasu (Zone 2),West Guji,245,122.5
Kilbet Rasu (Zone 2),West Hararghe,50,25
Kilbet Rasu (Zone 2),West Shewa,237,118.5
Kilbet Rasu (Zone 2),West Wellega,728,364
Kilbet Rasu (Zone 2),Aleta Chuko,324,162
Kilbet Rasu (Zone 2),Aleta Wondo,273,136.5
Kilbet Rasu (Zone 2),Aroresa,264,132
Kilbet Rasu (Zone 2),Bensa,728,364
Kilbet Rasu (Zone 2),Bona,180,90
Kilbet Rasu (Zone 2),Bursa,911,455.5
Kilbet Rasu (Zone 2),Dale,104,52
Kilbet Rasu (Zone 2),Dara,559,279.5
Kilbet Rasu (Zone 2),Gorche,227,113.5
Kilbet Rasu (Zone 2),Hawassa Zuria,641,320.5
Kilbet Rasu (Zone 2),Loka Abaya,809,404.5
Kilbet Rasu (Zone 2),Malga,691,345.5
Kilbet Rasu (Zone 2),Shebedino,318,159
Kilbet Rasu (Zone 2),Wondo Genet,939,469.5
Kilbet Rasu (Zone 2),Wonsho,380,190
Kilbet Rasu (Zone 2),Gamo,911,455.5
Kilbet Rasu (Zone 2),Gedeo,546,273
Kilbet Rasu (Zone 2),Gofa,119,59.5
Kilbet Rasu (Zone 2),Hadiya,786,393
Kilbet Rasu (Zone 2),Halaba,827,413.5
Kilbet Rasu (Zone 2),Kembata Tembaro,175,87.5
Kilbet Rasu (Zone 2),Konso,160,80
Kilbet Rasu (Zone 2),Silte,438,219
Kilbet Rasu (Zone 2),South Omo,401,200.5
Kilbet Rasu (Zone 2),Wolayita,942,471
Kilbet Rasu (Zone 2),Afder,737,368.5
Kilbet Rasu (Zone 2),Dollo,112,56
Kilbet Rasu (Zone 2),Erer,123,61.5
Kilbet Rasu (Zone 2),Fafan,934,467
Kilbet Rasu (Zone 2),Jarar,576,288
Kilbet Rasu (Zone 2),Korahe,662,331
Kilbet Rasu (Zone 2),Liben,378,189
Kilbet Rasu (Zone 2),Nogob,495,247.5
Kilbet Rasu (Zone 2),Shabelle,580,290
Kilbet Rasu (Zone 2),Sitti,802,401
Kilbet Rasu (Zone 2),Central,742,371
Kilbet Rasu (Zone 2),Eastern,732,366
Kilbet Rasu (Zone 2),North Western,429,214.5
Kilbet Rasu (Zone 2),Southern,151,75.5
Kilbet Rasu (Zone 2),Western,189,94.5
Kilbet Rasu (Zone 2),South Eastern,79,39.5
Kilbet Rasu (Zone 2),Mekelle,152,76
Gabi Rasu (Zone 3),Fantena Rasu (Zone 4),356,178
Gabi Rasu (Zone 3),Hari Rasu (Zone 5),326,163
Gabi Rasu (Zone 3),Agew Awi,964,482
Gabi Rasu (Zone 3),East Gojjam,415,207.5
Gabi Rasu (Zone 3),North Gondar,156,78
Gabi Rasu (Zone 3),North Shewa,131,65.5
Gabi Rasu (Zone 3),North Wollo,454,227
Gabi Rasu (Zone 3),Oromia Special Zone,64,32
Gabi Rasu (Zone 3),South Gondar,729,364.5
Gabi Rasu (Zone 3),South Wollo,156,78
Gabi Rasu (Zone 3),Wag Hemra,787,393.5
Gabi Rasu (Zone 3),West Gojjam,964,482
Gabi Rasu (Zone 3),Assosa,261,130.5
Gabi Rasu (Zone 3),Kamashi,123,61.5
Gabi Rasu (Zone 3),Metekel,531,265.5
Gabi Rasu (Zone 3),Mao-Komo Special,378,189
Gabi Rasu (Zone 3),Dire Dawa City Administration,710,355
Gabi Rasu (Zone 3),Anywaa,470,235
Gabi Rasu (Zone 3),Majang,226,113
Gabi Rasu (Zone 3),Nuer,415,207.5
Gabi Rasu (Zone 3),Itang Special,627,313.5
Gabi Rasu (Zone 3),Harari Regional State,317,158.5
Gabi Rasu (Zone 3),Arsi,410,205
Gabi Rasu (Zone 3),Bale,135,67.5
Gabi Rasu (Zone 3),Borena,98,49
Gabi Rasu (Zone 3),Buno Bedele,857,428.5
Gabi Rasu (Zone 3),East Bale,699,349.5
Gabi Rasu (Zone 3),East Guji,691,345.5
Gabi Rasu (Zone 3),East Hararghe,285,142.5
Gabi Rasu (Zone 3),East Shewa,358,179
Gabi Rasu (Zone 3),East Wellega,699,349.5
Gabi Rasu (Zone 3),Horo Guduru Wellega,138,69
Gabi Rasu (Zone 3),Illubabor,891,445.5
Gabi Rasu (Zone 3),Jimma,463,231.5
Gabi Rasu (Zone 3),Kellem Wellega,212,106
Gabi Rasu (Zone 3),North Shewa,192,96
Gabi Rasu (Zone 3),Southwest Shewa,266,133
Gabi Rasu (Zone 3),West Arsi,574,287
Gabi Rasu (Zone 3),West Guji,655,327.5
Gabi Rasu (Zone 3),West Hararghe,568,284
Gabi Rasu (Zone 3),West Shewa,156,78
Gabi Rasu (Zone 3),West Wellega,715,357.5
Gabi Rasu (Zone 3),Aleta Chuko,407,203.5
Gabi Rasu (Zone 3),Aleta Wondo,256,128
Gabi Rasu (Zone 3),Aroresa,94,47
Gabi Rasu (Zone 3),Bensa,343,171.5
Gabi Rasu (Zone 3),Bona,185,92.5
Gabi Rasu (Zone 3),Bursa,380,190
Gabi Rasu (Zone 3),Dale,278,139
Gabi Rasu (Zone 3),Dara,316,158
Gabi Rasu (Zone 3),Gorche,979,489.5
Gabi Rasu (Zone 3),Hawassa Zuria,788,394
Gabi Rasu (Zone 3),Loka Abaya,293,146.5
Gabi Rasu (Zone 3),Malga,220,110
Gabi Rasu (Zone 3),Shebedino,581,290.5
Gabi Rasu (Zone 3),Wondo Genet,333,166.5
Gabi Rasu (Zone 3),Wonsho,704,352
Gabi Rasu (Zone 3),Gamo,506,253
Gabi Rasu (Zone 3),Gedeo,351,175.5
Gabi Rasu (Zone 3),Gofa,708,354
Gabi Rasu (Zone 3),Hadiya,108,54
Gabi Rasu (Zone 3),Halaba,804,402
Gabi Rasu (Zone 3),Kembata Tembaro,85,42.5
Gabi Rasu (Zone 3),Konso,299,149.5
Gabi Rasu (Zone 3),Silte,628,314
Gabi Rasu (Zone 3),South Omo,698,349
Gabi Rasu (Zone 3),Wolayita,970,485
Gabi Rasu (Zone 3),Afder,425,212.5
Gabi Rasu (Zone 3),Dollo,78,39
Gabi Rasu (Zone 3),Erer,270,135
Gabi Rasu (Zone 3),Fafan,84,42
Gabi Rasu (Zone 3),Jarar,568,284
Gabi Rasu (Zone 3),Korahe,656,328
Gabi Rasu (Zone 3),Liben,288,144
Gabi Rasu (Zone 3),Nogob,808,404
Gabi Rasu (Zone 3),Shabelle,178,89
Gabi Rasu (Zone 3),Sitti,387,193.5
Gabi Rasu (Zone 3),Central,247,123.5
Gabi Rasu (Zone 3),Eastern,701,350.5
Gabi Rasu (Zone 3),North Western,125,62.5
Gabi Rasu (Zone 3),Southern,524,262
Gabi Rasu (Zone 3),Western,963,481.5
Gabi Rasu (Zone 3),South Eastern,663,331.5
Gabi Rasu (Zone 3),Mekelle,707,353.5
Fantena Rasu (Zone 4),Hari Rasu (Zone 5),459,229.5
Fantena Rasu (Zone 4),Agew Awi,468,234
Fantena Rasu (Zone 4),East Gojjam,909,454.5
Fantena Rasu (Zone 4),North Gondar,171,85.5
Fantena Rasu (Zone 4),North Shewa,541,270.5
Fantena Rasu (Zone 4),North Wollo,517,258.5
Fantena Rasu (Zone 4),Oromia Special Zone,511,255.5
Fantena Rasu (Zone 4),South Gondar,852,426
Fantena Rasu (Zone 4),South Wollo,264,132
Fantena Rasu (Zone 4),Wag Hemra,89,44.5
Fantena Rasu (Zone 4),West Gojjam,895,447.5
Fantena Rasu (Zone 4),Assosa,203,101.5
Fantena Rasu (Zone 4),Kamashi,185,92.5
Fantena Rasu (Zone 4),Metekel,564,282
Fantena Rasu (Zone 4),Mao-Komo Special,308,154
Fantena Rasu (Zone 4),Dire Dawa City Administration,331,165.5
Fantena Rasu (Zone 4),Anywaa,979,489.5
Fantena Rasu (Zone 4),Majang,338,169
Fantena Rasu (Zone 4),Nuer,317,158.5
Fantena Rasu (Zone 4),Itang Special,156,78
Fantena Rasu (Zone 4),Harari Regional State,795,397.5
Fantena Rasu (Zone 4),Arsi,119,59.5
Fantena Rasu (Zone 4),Bale,325,162.5
Fantena Rasu (Zone 4),Borena,333,166.5
Fantena Rasu (Zone 4),Buno Bedele,292,146
Fantena Rasu (Zone 4),East Bale,782,391
Fantena Rasu (Zone 4),East Guji,371,185.5
Fantena Rasu (Zone 4),East Hararghe,930,465
Fantena Rasu (Zone 4),East Shewa,66,33
Fantena Rasu (Zone 4),East Wellega,970,485
Fantena Rasu (Zone 4),Horo Guduru Wellega,101,50.5
Fantena Rasu (Zone 4),Illubabor,74,37
Fantena Rasu (Zone 4),Jimma,641,320.5
Fantena Rasu (Zone 4),Kellem Wellega,87,43.5
Fantena Rasu (Zone 4),North Shewa,952,476
Fantena Rasu (Zone 4),Southwest Shewa,226,113
Fantena Rasu (Zone 4),West Arsi,201,100.5
Fantena Rasu (Zone 4),West Guji,234,117
Fantena Rasu (Zone 4),West Hararghe,601,300.5
Fantena Rasu (Zone 4),West Shewa,841,420.5
Fantena Rasu (Zone 4),West Wellega,320,160
Fantena Rasu (Zone 4),Aleta Chuko,975,487.5
Fantena Rasu (Zone 4),Aleta Wondo,591,295.5
Fantena Rasu (Zone 4),Aroresa,527,263.5
Fantena Rasu (Zone 4),Bensa,965,482.5
Fantena Rasu (Zone 4),Bona,968,484
Fantena Rasu (Zone 4),Bursa,607,303.5
Fantena Rasu (Zone 4),Dale,83,41.5
Fantena Rasu (Zone 4),Dara,73,36.5
Fantena Rasu (Zone 4),Gorche,309,154.5
Fantena Rasu (Zone 4),Hawassa Zuria,246,123
Fantena Rasu (Zone 4),Loka Abaya,855,427.5
Fantena Rasu (Zone 4),Malga,299,149.5
Fantena Rasu (Zone 4),Shebedino,916,458
Fantena Rasu (Zone 4),Wondo Genet,557,278.5
Fantena Rasu (Zone 4),Wonsho,903,451.5
Fantena Rasu (Zone 4),Gamo,703,351.5
Fantena Rasu (Zone 4),Gedeo,947,473.5
Fantena Rasu (Zone 4),Gofa,794,397
Fantena Rasu (Zone 4),Hadiya,571,285.5
Fantena Rasu (Zone 4),Halaba,581,290.5
Fantena Rasu (Zone 4),Kembata Tembaro,85,42.5
Fantena Rasu (Zone 4),Konso,694,347
Fantena Rasu (Zone 4),Silte,342,171
Fantena Rasu (Zone 4),South Omo,185,92.5
Fantena Rasu (Zone 4),Wolayita,585,292.5
Fantena Rasu (Zone 4),Afder,156,78
Fantena Rasu (Zone 4),Dollo,95,47.5
Fantena Rasu (Zone 4),Erer,164,82
Fantena Rasu (Zone 4),Fafan,802,401
Fantena Rasu (Zone 4),Jarar,327,163.5
Fantena Rasu (Zone 4),Korahe,679,339.5
Fantena Rasu (Zone 4),Liben,617,308.5
Fantena Rasu (Zone 4),Nogob,772,386
Fantena Rasu (Zone 4),Shabelle,569,284.5
Fantena Rasu (Zone 4),Sitti,119,59.5
Fantena Rasu (Zone 4),Central,623,311.5
Fantena Rasu (Zone 4),Eastern,928,464
Fantena Rasu (Zone 4),North Western,284,142
Fantena Rasu (Zone 4),Southern,828,414
Fantena Rasu (Zone 4),Western,581,290.5
Fantena Rasu (Zone 4),South Eastern,154,77
Fantena Rasu (Zone 4),Mekelle,245,122.5
Hari Rasu (Zone 5),Agew Awi,355,177.5
Hari Rasu (Zone 5),East Gojjam,481,240.5
Hari Rasu (Zone 5),North Gondar,972,486
Hari Rasu (Zone 5),North Shewa,519,259.5
Hari Rasu (Zone 5),North Wollo,507,253.5
Hari Rasu (Zone 5),Oromia Special Zone,58,29
Hari Rasu (Zone 5),South Gondar,62,31
Hari Rasu (Zone 5),South Wollo,702,351
Hari Rasu (Zone 5),Wag Hemra,323,161.5
Hari Rasu (Zone 5),West Gojjam,266,133
Hari Rasu (Zone 5),Assosa,788,394
Hari Rasu (Zone 5),Kamashi,264,132
Hari Rasu (Zone 5),Metekel,143,71.5
Hari Rasu (Zone 5),Mao-Komo Special,486,243
Hari Rasu (Zone 5),Dire Dawa City Administration,537,268.5
Hari Rasu (Zone 5),Anywaa,355,177.5
Hari Rasu (Zone 5),Majang,904,452
Hari Rasu (Zone 5),Nuer,892,446
Hari Rasu (Zone 5),Itang Special,121,60.5
Hari Rasu (Zone 5),Harari Regional State,555,277.5
Hari Rasu (Zone 5),Arsi,846,423
Hari Rasu (Zone 5),Bale,861,430.5
Hari Rasu (Zone 5),Borena,642,321
Hari Rasu (Zone 5),Buno Bedele,160,80
Hari Rasu (Zone 5),East Bale,659,329.5
Hari Rasu (Zone 5),East Guji,934,467
Hari Rasu (Zone 5),East Hararghe,94,47
Hari Rasu (Zone 5),East Shewa,938,469
Hari Rasu (Zone 5),East Wellega,189,94.5
Hari Rasu (Zone 5),Horo Guduru Wellega,876,438
Hari Rasu (Zone 5),Illubabor,456,228
Hari Rasu (Zone 5),Jimma,307,153.5
Hari Rasu (Zone 5),Kellem Wellega,291,145.5
Hari Rasu (Zone 5),North Shewa,77,38.5
Hari Rasu (Zone 5),Southwest Shewa,928,464
Hari Rasu (Zone 5),West Arsi,650,325
Hari Rasu (Zone 5),West Guji,723,361.5
Hari Rasu (Zone 5),West Hararghe,827,413.5
Hari Rasu (Zone 5),West Shewa,925,462.5
Hari Rasu (Zone 5),West Wellega,62,31
Hari Rasu (Zone 5),Aleta Chuko,771,385.5
Hari Rasu (Zone 5),Aleta Wondo,956,478
Hari Rasu (Zone 5),Aroresa,66,33
Hari Rasu (Zone 5),Bensa,72,36
Hari Rasu (Zone 5),Bona,188,94
Hari Rasu (Zone 5),Bursa,909,454.5
Hari Rasu (Zone 5),Dale,292,146
Hari Rasu (Zone 5),Dara,684,342
Hari Rasu (Zone 5),Gorche,78,39
Hari Rasu (Zone 5),Hawassa Zuria,987,493.5
Hari Rasu (Zone 5),Loka Abaya,737,368.5
Hari Rasu (Zone 5),Malga,126,63
Hari Rasu (Zone 5),Shebedino,849,424.5
Hari Rasu (Zone 5),Wondo Genet,751,375.5
Hari Rasu (Zone 5),Wonsho,752,376
Hari Rasu (Zone 5),Gamo,596,298
Hari Rasu (Zone 5),Gedeo,649,324.5
Hari Rasu (Zone 5),Gofa,375,187.5
Hari Rasu (Zone 5),Hadiya,505,252.5
Hari Rasu (Zone 5),Halaba,227,113.5
Hari Rasu (Zone 5),Kembata Tembaro,310,155
Hari Rasu (Zone 5),Konso,649,324.5
Hari Rasu (Zone 5),Silte,361,180.5
Hari Rasu (Zone 5),South Omo,784,392
Hari Rasu (Zone 5),Wolayita,121,60.5
Hari Rasu (Zone 5),Afder,697,348.5
Hari Rasu (Zone 5),Dollo,548,274
Hari Rasu (Zone 5),Erer,449,224.5
Hari Rasu (Zone 5),Fafan,55,27.5
Hari Rasu (Zone 5),Jarar,738,369
Hari Rasu (Zone 5),Korahe,715,357.5
Hari Rasu (Zone 5),Liben,627,313.5
Hari Rasu (Zone 5),Nogob,507,253.5
Hari Rasu (Zone 5),Shabelle,743,371.5
Hari Rasu (Zone 5),Sitti,810,405
